time_limit;default;radius;in_range;random;lp_solution
0.0;141;141;141;141;141
403.17227848179937;136;136;136;136;136
806.3445569635987;113;113;114;112;114
1209.516835445398;92;93;90;93;93
1612.6891139271975;67;70;68;69;74
2015.8613924089968;53;54;50;55;56
2419.033670890796;38;41;37;39;43
2822.2059493725956;31;35;32;32;36
3225.378227854395;27;30;28;28;33
3628.5505063361943;23;29;26;26;30
4031.7227848179937;21;25;23;24;26
4434.895063299793;17;20;20;18;21
4838.067341781592;15;16;16;15;15
5241.239620263392;15;15;16;14;15
5644.411898745191;13;15;15;14;14
6047.5841772269905;10;14;13;13;13
6450.75645570879;9;12;12;10;12
6853.928734190589;9;11;11;10;11
7257.101012672389;8;11;10;10;11
7660.273291154188;8;11;10;10;10
8063.445569635987;7;10;10;9;9
8466.617848117787;7;10;10;9;9
8869.790126599586;6;8;8;7;8
9272.962405081385;6;7;7;7;8
9676.134683563185;6;7;7;7;8
10079.306962044984;6;7;7;7;8
10482.479240526784;6;7;7;7;8
10885.651519008583;6;7;7;7;7
11288.823797490382;6;7;7;7;7
11691.996075972182;6;6;6;6;7
12095.168354453981;5;4;5;4;6
12498.34063293578;5;3;4;3;5
12901.51291141758;4;3;4;3;5
13304.68518989938;4;3;4;3;5
13707.857468381178;4;3;4;3;5
14111.029746862978;3;3;3;3;4
14514.202025344777;3;3;3;3;4
14917.374303826577;3;2;3;3;3
15320.546582308376;3;2;3;3;3
15723.718860790175;3;2;3;3;3
16126.891139271975;3;2;3;3;3
16530.063417753772;3;2;3;3;3
16933.235696235573;2;2;3;3;3
17336.407974717375;2;2;3;3;3
17739.580253199172;2;2;3;3;3
18142.75253168097;2;2;3;3;3
18545.92481016277;2;2;3;3;3
18949.097088644572;2;2;3;3;3
19352.26936712637;2;2;3;3;3
19755.441645608167;2;2;3;3;3
20158.61392408997;2;2;3;3;3
20561.78620257177;2;2;3;3;3
20964.958481053567;2;2;3;3;3
21368.130759535365;2;2;3;3;3
21771.303038017166;2;2;3;3;3
22174.475316498967;2;2;3;3;3
22577.647594980765;2;2;3;3;3
22980.819873462562;2;2;3;3;3
23383.992151944363;2;2;2;2;3
23787.164430426164;2;2;2;2;3
24190.336708907962;2;2;2;2;3
24593.50898738976;2;2;2;2;3
24996.68126587156;2;2;2;2;3
25399.853544353362;2;2;2;2;3
25803.02582283516;2;2;2;2;3
26206.198101316957;2;2;2;2;3
26609.37037979876;2;2;2;2;3
27012.54265828056;2;2;2;2;3
27415.714936762357;2;2;2;2;3
27818.887215244155;2;2;2;2;3
28222.059493725956;2;2;2;2;3
28625.231772207757;2;2;2;2;3
29028.404050689554;2;2;2;2;3
29431.576329171352;2;2;2;2;3
29834.748607653153;2;2;2;2;3
30237.920886134954;2;2;2;2;3
30641.093164616752;2;2;2;2;3
31044.26544309855;2;2;2;2;3
31447.43772158035;2;2;2;2;3
31850.61000006215;2;2;2;2;3
32253.78227854395;2;2;2;2;3
32656.954557025747;2;2;2;2;3
33060.126835507544;2;2;2;2;3
33463.29911398935;2;2;2;2;3
33866.47139247115;2;2;2;2;3
34269.643670952944;2;2;2;2;3
34672.81594943475;2;2;2;2;3
35075.98822791655;2;2;2;2;2
35479.160506398344;2;2;2;2;2
35882.33278488014;2;2;2;2;2
36285.50506336194;2;2;2;2;2
36688.677341843744;2;2;2;2;2
37091.84962032554;2;2;2;2;2
37495.02189880734;2;2;2;2;2
37898.194177289144;2;2;2;2;2
38301.36645577094;2;2;2;2;2
38704.53873425274;2;2;2;2;2
39107.71101273454;2;2;2;2;2
39510.883291216334;2;2;2;2;2
39914.05556969814;2;2;2;2;2
40317.22784817994;2;2;2;2;2
